artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname,maiuscule
Tom Petty,Runnin' Down A Dream,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,Compilation,2019-03-01,Free Fallin' (04:14)/Mary Jane's Last Dance (04:31)/You Wreck Me (03:22)/I Won't Back Down (02:56)/Saving Grace (03:45)/You Don't Know How It Feels (04:46)/Don't Do Me Like That (02:40)/Listen To Her Heart (03:01)/Breakdown (02:42)/Walls (Circus) (04:23)/The Waiting (03:56)/Don't Come Around Here No More (05:03)/Southern Accents (04:42)/Angel Dream (No.2) (02:25)/Dreamville (03:46)/I Should Have Known It (03:38)/Refugee (03:20)/American Girl (03:32)/The Best Of Everything - Alternate Version / Extra Verse (05:25)/Wildflowers (03:10)/Learning To Fly (04:00)/Here Comes My Girl (04:23)/The Last DJ (03:30)/I Need To Know (02:22)/Scare Easy (04:36)/You Got Lucky (03:32)/Runnin' Down A Dream (04:21)/American Dream Plan B (02:59)/Stop Draggin' My Heart Around (04:02)/Trailer (03:19)/Into The Great Wide Open (03:41)/Room At The Top (05:01)/Square One (03:25)/Jammin' Me (04:02)/Even The Losers (03:34)/Hungry No More (05:56)/I Forgive It All (04:13)/For Real (03:51,https://i.scdn.co/image/ab67616d00001e02a2bc5fd7e51b61a904e7c20c,Classic Rock,"Petty, Tom",P
Steely Dan,Your Gold Teeth,Countdown To Ecstasy,Album,1973-07-01,Bodhisattva (05:16)/Razor Boy (03:10)/The Boston Rag (05:40)/Your Gold Teeth (06:58)/Show Biz Kids (05:24)/My Old School (05:39)/Pearl Of The Quarter (03:43)/King Of The World (04:56,https://i.scdn.co/image/ab67616d00001e02f08f479a9dcdf7db7c85e3a8,Classic Rock,Steely Dan,S
King Crimson,Red - Live in Fréjus,"SHELTERING SKIES (Live in Fréjus, August 27th 1982)",Album,2024-09-06,Thela Hun Ginjeet - Live in Fréjus (07:06)/Matte Kudasai - Live in Fréjus (03:31)/Indiscipline - Live in Fréjus (10:09)/Red - Live in Fréjus (06:01)/Heartbeat - Live in Fréjus (04:09)/The Sheltering Sky - Live in Fréjus (10:41)/Elephant Talk - Live in Fréjus (05:05)/Neal And Jack And Me - Live in Fréjus (05:41)/Waiting Man - Live in Fréjus (08:31)/Larks' Tongues In Aspic Part II - Live in Fréjus (07:14)/The Sheltering Sky - Live in Cap D'Agde (09:30,https://i.scdn.co/image/ab67616d00001e020bada556849a8c3c58b99583,Progressive Rock/Art Rock/Symphonic Rock/Psychedelic Rock,King Crimson,K
Nicky Hopkins,Shout It Out,The Tin Man Was A Dreamer,Album,1972-12-15,Sundown In Mexico (01:37)/Waiting For The Band (02:16)/Edward (05:21)/Dolly (04:42)/Speed On (04:00)/The Dreamer (05:46)/Banana Anna (03:41)/Lawyer's Lament (03:43)/Shout It Out (03:41)/Pig's Boogie (02:42,https://i.scdn.co/image/ab67616d00001e02266754cce367e36f2716354a,Blues,"Hopkins, Nicky",H
The Rolling Stones,Down The Road Apiece,The Rolling Stones No. 2,Album,1965-01-15,Everybody Needs Somebody To Love - Long Version (05:03)/Down Home Girl (04:11)/You Can't Catch Me (03:39)/Time Is On My Side - Mono Version (02:59)/What A Shame - Mono Version (03:02)/Grown Up Wrong (02:05)/Down The Road Apiece (02:56)/Under The Boardwalk (02:46)/I Can't Be Satisfied (03:27)/Pain In My Heart (02:11)/Off The Hook - Mono Version (02:34)/Susie Q (01:50,https://i.scdn.co/image/ab67616d00001e02ade1843699bf51399b70303a,Classic Rock/Rock,"Rolling Stones, The",R
Blue Öyster Cult,Hot Rails to Hell,Tyranny And Mutation,Album,1973-02-11,The Red & the Black (04:23)/O.D.'d On Life Itself (04:46)/Hot Rails to Hell (05:10)/7 Screaming Diz-Busters (07:00)/Baby Ice Dog (03:27)/Wings Wetted Down (04:11)/Teen Archer (03:56)/Mistress of the Salmon Salt (Quicklime Girl) (05:07,https://i.scdn.co/image/ab67616d00001e0283d8141f6680d107f7353ad4,Classic Rock/Hard Rock,Blue Öyster Cult,B
Jethro Tull,The Witch's Promise,Living in the Past,Compilation,1972,A Song for Jeffrey - Mono (03:24)/Love Story (03:07)/A Christmas Song (03:09)/Living in the Past (03:21)/Driving Song (02:43)/Sweet Dream (04:01)/Singing All Day (03:07)/The Witch's Promise (03:47)/Inside (03:52)/Just Trying to Be (01:37)/By Kind Permission Of - Live (10:10)/Dharma for One - Live (09:58)/Wond'ring Again (04:15)/Locomotive Breath (04:26)/Life Is a Long Song (03:18)/Up the 'Pool (03:15)/Dr. Bogenbroom (03:01)/From Later (02:08)/Nursie (01:35,https://i.scdn.co/image/ab67616d00001e02af2da8ad38c25ef67c29f171,Progressive Rock/Symphonic Rock/Art Rock/Classic Rock,Jethro Tull,J
Franco Battiato,Il Mantello E La Spiga,Gommalacca,Album,1998-01-01,Shock In My Town (04:22)/Auto Da Fe' (03:59)/Casta Diva (03:37)/Il Ballo Del Potere (04:25)/La Preda (03:42)/Il Mantello E La Spiga (03:57)/E Stato Molto Bello (03:47)/Quello Che Fu (04:29)/Vite Parallele (03:23)/E. Shakleton (08:34,https://i.scdn.co/image/ab67616d00001e020ecf26d1fd4acb6c448e1245,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
Thelonious Monk,Played Twice - Live [Lincoln Center],The Columbia Years,Compilation,1962,"Monk Speaks (00:04)/Bye-Ya (05:58)/Coming On the Hudson - Take 3 (07:31)/Rhythm-A-Ning - Take 2 (03:53)/Think of One - Take 2 (06:03)/Pannonica - Take 2 (06:45)/Crepuscule with Nellie (02:44)/April In Paris - Take 6 (07:59)/Ugly Beauty - Take 5 (10:44)/Honeysuckle Rose - Take 1 (07:03)/In Walked Bud (06:48)/Thelonious - Take 3 (03:10)/Reflections - Take 6 (04:34)/Blue Monk - Take 2 (05:16)/'Round Midnight - Take 2 (03:48)/Dinah (Take 2) (02:28)/Ask Me Now - Take 1 (03:42)/Ruby, My Dear - Take 1 (04:44)/Don't Blame Me - Live (05:46)/(When It's) Darkness on the Delta - Live [Lincoln Center] (05:05)/Played Twice - Live [Lincoln Center] (07:31)/I Mean You - Live [Lincoln Center] (12:46)/Bemsha Swing - Live [Tokyo] (04:26)/Jackie-ing - Live [Tokyo] (05:02)/Nutty - Live (13:51)/Straight, No Chaser - Live (11:15)/Evidence - Live [Stockholm] (09:00)/Epistrophy - Live [Stockholm] (05:33)/Well, You Needn't - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (09:16)/Misterioso - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (08:21)/Hackensack - Live [The Jazz Workshop], 2001 (07:58)/Bright Mississippi - Live (08:11",https://i.scdn.co/image/ab67616d00001e028689831eae23f5844ef3354b,Jazz/Bebop/Hard Bop/Cool Jazz,nan,N
King Crimson,The Talking Drum,Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),Album,1973-03-23,Larks' Tongues In Aspic (Part I) (13:35)/Book Of Saturday (02:55)/Exiles (07:41)/Easy Money (07:54)/The Talking Drum (07:24)/Larks' Tongues In Aspic (Part II) (07:19)/Recording Session Extract (Part 1) [Bonus Track] (10:35)/Recording Session Extract (Part 2) [Bonus Track] (10:25,https://i.scdn.co/image/ab67616d00001e02aa9e5286056e17ff3d9b2881,Progressive Rock/Art Rock/Symphonic Rock/Psychedelic Rock,King Crimson,K
The Doors,Roadhouse Blues,Morrison Hotel,Album,1970-02-09,Roadhouse Blues (04:03)/Waiting for the Sun (03:58)/You Make Me Real (02:51)/Peace Frog (02:50)/Blue Sunday (02:12)/Ship of Fools (03:08)/Land Ho! (04:09)/The Spy (04:15)/Queen of the Highway (02:47)/Indian Summer (02:34)/Maggie M'Gill (04:24,https://i.scdn.co/image/ab67616d00001e02f12a8a7e0b2cbe16d2bef4dc,Psychedelic Rock/Classic Rock/Acid Rock,"Doors, The",D
Ornette Coleman,Eventually,The Shape Of Jazz To Come,Album,1959,Lonely Woman (05:02)/Eventually (04:23)/Peace (09:04)/Focus on Sanity (06:51)/Congeniality (06:47)/Chronology (06:03,https://i.scdn.co/image/ab67616d00001e02abd3f4626eb5181c0e0ac1a9,Free Jazz/Jazz/Avant-garde/Hard Bop/Bebop,"Coleman, Ornette",C
The Who,The Ox,My Generation (50th Anniversary / Super Deluxe),Album,1965-12-03,"Out In The Street (02:31)/I Don't Mind (02:36)/The Good's Gone (04:04)/La-La-La-Lies (02:16)/Much Too Much (02:44)/My Generation (03:20)/The Kids Are Alright (03:07)/Please Please Please (02:46)/It's Not True (02:32)/I'm A Man (03:21)/A Legal Matter (02:50)/The Ox (03:53)/Out In The Street - 2014 Stereo Mix (02:30)/I Don't Mind - 2014 Stereo Mix (02:36)/The Good's Gone - 2014 Stereo Mix (04:05)/La-La-La Lies - 2014 Stereo Mix (02:15)/Much Too Much - 2014 Stereo Mix (02:43)/My Generation - 2014 Stereo Mix (03:18)/The Kids Are Alright - 2014 Stereo Mix (03:05)/Please, Please, Please - 2014 Stereo Mix (02:43)/It's Not True - 2014 Stereo Mix (02:30)/I'm A Man - 2014 Stereo Mix (03:20)/A Legal Matter - 2014 Stereo Mix (02:49)/The Ox - 2014 Stereo Mix (03:50)/I Can't Explain - Mono Version (02:05)/Bald Headed Woman - Mono Version (02:10)/Daddy Rolling Stone - Mono Version (02:48)/Leaving Here - Mono Version (02:49)/Lubie (Come Back Home) - Mono Version (03:37)/Shout And Shimmy - Mono Version (03:18)/(Love Is Like A) Heat Wave - Mono Version (02:41)/Motoring - Mono Version (02:49)/Anytime You Want Me - Mono Version (02:36)/Anyway, Anyhow, Anywhere - pFrench EP Version / Mono Version (02:41)/Instant Party Mixture - Mono Version (03:28)/Circles - Revised Mono Version (03:13)/Anyway, Anyhow, Anywhere - French EP Version (02:44)/Out In The Street - Alternative Guitar Break Version / 2000 Remix (02:36)/Out In The Street - Alternative Early Vocal Version / 2000 Remix (02:35)/I Don't Mind - Full Length Version / 2000 Remix (04:08)/The Good's Gone - Full Length Version / 2000 Remix (04:35)/My Generation - Alternative Version / 2000 Remix (03:34)/I'm A Man - Version 2 / Early Vocal Version / 2000 Remix (03:28)/Daddy Rolling Stone - Alternative Take / 2000 Remix (03:06)/Lubie (Come Back Home) - Alternative Mix / 2000 Remix (03:45)/Shout And Shimmy - Alternative Mix / 2000 Remix (03:26)/Circles - Alternative Mix / 2000 Remix (03:29)/Out In The Street - Alternate Take 1 (02:30)/I Don't Mind - Full Length Version (03:45)/The Good's Gone - Full Length Version (04:27",https://i.scdn.co/image/ab67616d00001e02c4bce589ca107c9ca77cd3d6,Classic Rock/Rock,"Who, The",W
Eric Dolphy,Serene,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,nan,N
Bob Dylan,Girl from the North Country,Nashville Skyline,Album,1969-04-09,"Girl from the North Country (03:40)/Nashville Skyline Rag (03:11)/To Be Alone with You (02:07)/I Threw It All Away (02:23)/Peggy Day (01:59)/Lay, Lady, Lay (03:17)/One More Night (02:20)/Tell Me That It Isn't True (02:40)/Country Pie (01:35)/Tonight I'll Be Staying Here with You (03:21",https://i.scdn.co/image/ab67616d00001e0222debe1325cc21c9bb0c0b07,Folk Rock/Folk/Singer-songwriter/Roots Rock/Country Rock,"Dylan, Bob",D
Tommy Bolin,The Grind,Teaser,Album,1975-11-17,"The Grind (03:28)/Homeward Strut (03:57)/Dreamer (05:09)/Savannah Woman (02:47)/Teaser (04:26)/People, People (04:56)/Marching Powder (04:14)/Wild Dogs (04:40)/Lotus (03:56",https://i.scdn.co/image/ab67616d00001e02299f1b7ddb7e6cdd37215029,Blues Rock/Modern Blues,"Bolin, Tommy",B
The Kinks,Some Mother's Son (2019 Remaster),Arthur or the Decline and Fall of the British Empire (2019 Remaster),Album,1969-10-10,"Victoria (2019 Remaster) (03:39)/Yes Sir, No Sir (2019 Remaster) (03:46)/Some Mother's Son (2019 Remaster) (03:24)/Drivin' (2019 Remaster) (03:19)/Brainwashed (2019 Remaster) (02:34)/Australia (2019 Remaster) (06:45)/Shangri-La (2019 Remaster) (05:20)/Mr. Churchill Says (2019 Remaster) (04:42)/She's Bought a Hat Like Princess Marina (2019 Remaster) (03:07)/Young and Innocent Days (2019 Remaster) (03:21)/Nothing to Say (2019 Remaster) (03:08)/Arthur (2019 Remaster) (05:27",https://i.scdn.co/image/ab67616d00001e02d05d5e13095ee2c342ed00bb,Proto-punk/Baroque Pop,"Kinks, The",K
Ronnie Wood,Breakin' My Heart,Gimme Some Neck,Album,1979,Worry No More (02:33)/Breakin' My Heart (04:17)/Delia (00:42)/Buried Alive (03:37)/Come To Realise (03:52)/Infekshun (04:03)/Seven Days (04:10)/We All Get Old (04:09)/F.U.C. Her (03:15)/Lost And Lonely (04:14)/Don't Worry (03:25,https://i.scdn.co/image/ab67616d00001e02989ec7b6982cb919c1f16fbc,Blues Rock,"Wood, Ronnie",W
John Coltrane,Slow Dance - Rudy Van Gelder Remaster,Traneing In [Rudy Van Gelder edition],Album,1957,Traneing In - Rudy Van Gelder Remaster (12:32)/Slow Dance - Rudy Van Gelder Remaster (05:24)/Bass Blues - Rudy Van Gelder Remaster (07:43)/You Leave Me Breathless - Rudy Van Gelder Remaster (07:21)/Soft Lights And Sweet Music - Rudy Van Gelder Remaster (04:41,https://i.scdn.co/image/ab67616d00001e029d1b40ada71398b1e667e3f0,Jazz/Hard Bop/Free Jazz/Bebop/Cool Jazz/Jazz Blues,"Coltrane, John",C
Van Der Graaf Generator,Whatever Would Robert Have Said? - 2005 Digital Remaster,The Least We Can Do Is Wave To Each Other,Album,1970,Darkness (11/11) [2005 - Remaster] (07:30)/Refugees - Remastered (06:25)/White Hammer - 2005 Digital Remaster (08:18)/Whatever Would Robert Have Said? - 2005 Digital Remaster (06:09)/Out Of My Book - 2005 Digital Remaster (04:06)/After The Flood - 2005 Digital Remaster (11:36)/The Boat Of Millions Of Years - Remastered 2005 (03:54)/Refugees - Single Version / Remastered 2005 (05:18,https://i.scdn.co/image/ab67616d00001e026931cd9c7b1f94ca74a0ec9a,Progressive Rock/Art Rock/Symphonic Rock/Krautrock/Space Rock,Van Der Graaf Generator,V
The Brian Jonestown Massacre,Tombes Oubliées,The Brian Jonestown Massacre,Album,2019-03-15,Drained (03:43)/Tombes Oubliées (04:26)/My Mind Is Filled With Stuff (03:35)/Cannot Be Saved (03:58)/A Word (05:33)/We Never Had a Chance (06:11)/To Sad To Tell You (03:30)/Remember Me This (02:50)/What Can I Say (04:13,https://i.scdn.co/image/ab67616d00001e0204fa43201ac96417d19bb72b,Shoegaze/Psychedelic Rock/Space Rock,"Brian Jonestown Massacre, The",B
Jackson Browne,Late for the Sky - Remastered,Late for the Sky (Remastered),Album,1974,Late for the Sky - Remastered (05:41)/Fountain of Sorrow - Remastered (06:52)/Farther On - Remastered (05:21)/The Late Show - Remastered (05:14)/The Road and the Sky - Remastered (03:08)/For a Dancer - Remastered (04:46)/Walking Slow - Remastered (03:55)/Before the Deluge - Remastered (06:21,https://i.scdn.co/image/ab67616d00001e022a025a4e7885b7e74006c113,Folk Rock/Soft Rock/Singer-songwriter,"Browne, Jackson",B
TOOL,Fear Inoculum,Fear Inoculum,Album,2019-08-30,Fear Inoculum (10:20)/Pneuma (11:53)/Litanie contre la Peur (02:14)/Invincible (12:44)/Legion Inoculant (03:09)/Descending (13:37)/Culling Voices (10:05)/Chocolate Chip Trip (04:48)/7empest (15:43)/Mockingbeat (02:05,https://i.scdn.co/image/ab67616d00001e0226e6b6f666ef40b6b8365e3e,Progressive Metal/Alternative Metal/Progressive Rock/Metal,TOOL,T
Franco Battiato,Mesopotamia - Live 1988 / Remastered 2020,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),Album,1989,Giubbe Rosse - Remastered 2020 (04:14)/Alexander Platz - Live 1988 / Remastered 2020 (03:23)/Lettera Al Governatore Della Libia - Live 1988 / Remastered 2020 (03:26)/Mesopotamia - Live 1988 / Remastered 2020 (04:23)/L'Era Del Cinghiale Bianco - Live 1988 / Remastered 2020 (03:37)/Un'Altra Vita - Live 1988 / Remastered 2020 (03:00)/Voglio Vederti Danzare - Live 1988 / Remastered 2020 (03:24)/Oceano Di Silenzio - Live 1988 / Remastered 2020 (04:25)/Sequenze E Frequenze - Live 1988 / Remastered 2020 (07:05)/Aria Di Rivoluzione - Live 1988 / Remastered 2020 (03:34)/No U Turn - Live 1988 / Remastered 2020 (04:24)/Summer On A Solitary Beach - Live 1988 / Remastered 2020 (03:30)/Cuccurucucù - Live 1988 / Remastered 2020 (02:58)/Centro Di Gravità Permanente - Live 1988 / Remastered 2020 (03:53)/Gli Uccelli - Live 1988 / Remastered 2020 (04:43)/E Ti Vengo A Cercare - Live 1988 / Remastered 2020 (03:57)/Casaca Roja - Remastered 2020 / Bonus Track (04:16)/Alexander Platz - Spanish Version / Live 1988 / Remastered 2020 / Bonus Track (03:19)/Carta Al Gobernator De Libia - Live 1988 / Remastered 2020 / Bonus Track (03:17,https://i.scdn.co/image/ab67616d00001e02554a20c25a51b6d57c2d489d,Italian Singer-songwriter/Singer-songwriter,nan,N
Miles Davis,Blackmail - The Hot Spot/Soundtrack Version,Jazz Legends: Miles Davis,Compilation,2022-09-24,"Dear Old Stockholm (04:13)/I Waited For You - Remastered 1998 (03:29)/Donna (03:14)/It Never Entered My Mind (04:05)/C.T.A. - Remastered 1998 (03:31)/Yesterdays - Remastered 1998 (03:42)/Would'n You - Remastered 1998 (03:23)/Take Off - Remastered 1998 (03:40)/Kelo (03:18)/Enigma - Remastered 1998 (03:21)/Tempus Fugit - Remastered 1998 (03:48)/Weirdo - Remastered 1998 (04:43)/The Leap - Remastered 1998 (04:30)/How Deep Is The Ocean - Remastered 1998 (04:39)/Well You Needn't (06:19)/Ray's Idea - Remastered 1998 (03:43)/Chance It (03:04)/Boplicity (03:02)/Rocker (03:06)/Blackmail - The Hot Spot/Soundtrack Version (02:12)/Deception - Remastered (02:48)/Chance It - Remastered 1998 (03:01)/Godchild - Remastered (03:10)/Budo (02:34)/Israel - Remastered (02:19)/Moon Dreams (03:20)/Move (02:33)/Rouge (03:15)/Venus De Milo (03:12)/Jeru (03:13)/Jeru - Remastered (03:13)/Ray's Idea (03:44)/Woody 'N You - Alternate Take (04:40)/Budo (Hallucinations) - Live At The Royal Rooster, New York, September 4, 1948 / Remastered (03:25)/C.T.A. (03:35)/Enigma (03:25)/Darn That Dream - Remastered (03:23)/Lazy Susan - Remastered 1998 (04:01)/Why Do I Love You - Live At The Royal Rooster, New York, September 4, 1948 / Remastered (03:41)/Gloria's Story - The Hot Spot/Soundtrack Version (03:26)/Take Off (03:42)/Tempus Fugit (03:49)/Yesterdays (03:45)/S'il Vous Plait - Live At The Royal Rooster, New York, September 4, 1948 / Remastered (04:23)/How Deep Is The Ocean (04:38)/Weirdo (04:44)/The Leap (04:31)/Well You Needn't (05:23",https://i.scdn.co/image/ab67616d00001e020945c1a504382b1dd5dceee3,Jazz/Cool Jazz/Hard Bop/Bebop/Jazz Fusion/Jazz Blues/Free Jazz,"Davis, Miles",D
King Crimson,Waiting Man,Beat,Album,1982-06-18,Neal And Jack And Me (04:22)/Heartbeat (03:54)/Sartori in Tangier (03:34)/Waiting Man (04:27)/Neurotica (04:48)/Two Hands (03:23)/The Howler (04:12)/Requiem (06:42)/Absent Lovers (04:14)/Neurotica/The Howler (Live in Philadelphia) (10:15,https://i.scdn.co/image/ab67616d00001e0213f0fbd1d0cc07d80df11a51,Progressive Rock/Art Rock/Symphonic Rock/Psychedelic Rock,King Crimson,K
The Brian Jonestown Massacre,Evergreen,Methodrone,Album,1995-06-09,Evergreen (03:24)/Wisdom (05:20)/Crushed (06:08)/That Girl Suicide (03:41)/Wasted (04:21)/Everyone Says (04:15)/Short Wave (02:47)/She Made Me (04:42)/Hyperventilation (09:52)/Records (01:50)/I Love You (04:11)/End Of The Day (05:09)/Outback (04:07)/She's Gone (07:18)/Untitled (Methodrone) (04:52)/In India You - Bonus Track (03:42,https://i.scdn.co/image/ab67616d00001e020816d6575022fd89eb197234,Shoegaze/Psychedelic Rock/Space Rock,"Brian Jonestown Massacre, The",B
The Who,Eminence Front,It's Hard,Album,1982-09-04,Athena (03:47)/It's Your Turn (03:39)/Cooks County (03:50)/It's Hard (03:47)/Dangerous - 1997 Unedited Remix (03:33)/Eminence Front (05:39)/I've Known No War (05:56)/One Life's Enough (02:21)/One At A Time (03:18)/Why Did I Fall For That (03:56)/A Man Is A Man (03:55)/Cry If You Want (05:18)/It's Hard - Live (04:56)/Eminence Front - Live (05:43)/Dangerous - Live (03:48)/Cry If You Want - Live (07:12,https://i.scdn.co/image/ab67616d00001e02daa48b4b3385808beb8eb5db,Classic Rock/Rock,"Who, The",W
Yes,Roundabout - 2024 Remaster,Fragile (Super Deluxe),Album,1971-11-12,"Roundabout - 2024 Remaster (08:36)/Cans and Brahms - 2024 Remaster (01:42)/We Have Heaven - 2024 Remaster (01:39)/South Side of the Sky - 2024 Remaster (07:57)/Five Per Cent for Nothing - 2024 Remaster (00:38)/Long Distance Runaround - 2024 Remaster (03:30)/The Fish (Schindleria Praematurus) - 2024 Remaster (02:39)/Mood for a Day - 2024 Remaster (03:00)/Heart of the Sunrise - 2024 Remaster (11:26)/Roundabout - 2024 Steven Wilson Remix (08:31)/Cans and Brahms - 2024 Steven Wilson Remix (01:39)/We Have Heaven - 2024 Steven Wilson Remix (01:39)/South Side of the Sky - 2024 Steven Wilson Remix (08:03)/Five Per Cent for Nothing - 2024 Steven Wilson Remix (00:35)/Long Distance Runaround - 2024 Steven Wilson Remix (03:30)/The Fish (Schindleria Praematurus) - 2024 Steven Wilson Remix (02:39)/Mood for a Day - 2024 Steven Wilson Remix (02:58)/Heart of the Sunrise - 2024 Steven Wilson Remix (10:38)/We Have Heaven (Reprise) - 2024 Steven Wilson Remix (00:47)/Roundabout (Instrumental) - 2024 Steven Wilson Remix (08:31)/We Have Heaven (Instrumental) - 2024 Steven Wilson Remix (01:39)/South Side of the Sky (Instrumental) - 2024 Steven Wilson Remix (08:03)/Long Distance Runaround (Instrumental) - 2024 Steven Wilson Remix (03:30)/The Fish (Schindleria Praematurus) [Instrumental] - 2024 Steven Wilson Remix (02:39)/Heart of the Sunrise (Instrumental) - 2024 Steven Wilson Remix (10:38)/We Have Heaven (Reprise) [Instrumental] - 2024 Steven Wilson Remix (00:47)/Roundabout (US Single Edit) - 2024 Remaster (03:27)/Long Distance Runaround (US Single Edit) - 2024 Remaster (03:16)/All Fighters Past (Steven Wilson Mix) (02:33)/South Side of the Sky (Early Take) - 2024 Remaster (06:20)/Roundabout (Rehearsal Take/Early Mix) - 2024 Remaster (08:10)/Mood for Another Day (Alternate Version) - 2024 Remaster (02:59)/We Have Heaven (Full Version) - Steven Wilson Mix (02:21)/South Side of the Sky (Early Version) - Steven Wilson Mix (05:11)/Long Distance Runaround - Steven Wilson Edit (03:39)/Heart of the Sunrise - Steven Wilson Edit (04:06)/America - 2024 Remaster (10:31)/Roundabout (Early Rough Mix) - 2024 Remaster (08:35)/We Have Heaven (Acapella) - Steven Wilson Mix (01:59)/Five Per Cent for Nothing (Alternate Version) (00:45)/Heart of the Sunrise (Alternate Version) (10:40)/Long Distance Runaround/The Fish (Schindleria Praematurus) - Alternate Version (06:02)/America (Instrumental) - 2024 Steven Wilson Remix (10:31)/Long Distance Runaround/The Fish (Schindleria Praematurus) - Live at Academy of Music, New York, NY, 2/19/1972 (12:36)/Perpetual Change - Live at Academy of Music, New York, NY, 2/19/1972 (10:46)/Yours is No Disgrace - Live at Academy of Music, New York, NY, 2/19/1972 (13:37",https://i.scdn.co/image/ab67616d00001e02fb00f7be0eca020bb5c05911,Progressive Rock/Symphonic Rock/Art Rock/Album Rock,Yes,Y
Natural Child,Out of Sight,Okey Dokey,Album,2016-09-16,Sure Is Nice (05:21)/NSA Blues (03:31)/Out of Sight (04:36)/Now and Then (02:51)/Transcendental Meditation (03:48)/Okey Dokey (01:59)/Juanita (03:40)/Self Centered Blues (04:27)/Benny's Here (06:41)/It's A Shame My Store Isn't Open (06:43,https://i.scdn.co/image/ab67616d00001e023aae2cbcdbbdf2754fc62de6,,Natural Child,N
Jeff Beck,She's a Woman,Blow By Blow,Album,1975-03-29,You Know What I Mean (04:05)/She's a Woman (04:31)/Constipated Duck (02:48)/Air Blower (05:09)/Scatterbrain (05:39)/Cause We've Ended as Lovers (05:42)/Thelonius (03:16)/Freeway Jam (04:58)/Diamond Dust (08:26,https://i.scdn.co/image/ab67616d00001e023ed60b59aaa75ed572d7fc30,Jazz Fusion/Blues Rock/Blues,"Beck, Jeff",B
Free,All Right Now,Fire And Water,Album,1970-06-26,Fire And Water (03:59)/Oh I Wept (04:26)/Remember (04:24)/Heavy Load (05:20)/Mr. Big (05:56)/Don't Say You Love Me (06:01)/All Right Now (05:30,https://i.scdn.co/image/ab67616d00001e02753c41c7fdc5e78ba017bbf5,Classic Rock,Free,F
Archie Shepp,Invocation To Mr. Parker,Attica Blues,Album,1972-01-01,Attica Blues (04:47)/Invocation: Attica Blues (00:19)/Steam (Part 1) (05:07)/Invocation To Mr. Parker (03:16)/Steam (Part 2) (05:08)/Blues For Brother George Jackson (04:00)/Invocation: Ballad For A Child (00:29)/Ballad For A Child (03:36)/Good Bye Sweet Pops (04:22)/Quiet Dawn (06:12,https://i.scdn.co/image/ab67616d00001e02f1f66f019a3e2cb4f00c4861,Free Jazz/Jazz/Avant-garde/Hard Bop,"Shepp, Archie",S
The Rolling Stones,The Boudoir Stomp,Jamming With Edward,Album,1972-01-07,The Boudoir Stomp (05:15)/It Hurts Me Too (05:14)/Edward's Thrump Up (08:13)/Blow With Ry (11:07)/Interlude A La El Hopo / Loveliest Night Of The Year (02:05)/Highland Fling (04:17,https://i.scdn.co/image/ab67616d00001e025348aad842943d410ee12db3,Classic Rock/Rock,"Rolling Stones, The",R
Kraan,Flyday,Flyday,Album,1978-09-15,Far West (02:34)/My Brother Said (03:41)/Ausflug (07:15)/Gayu Gaya (05:03)/You're Right (05:58)/Young King's Song (05:35)/Buy Buy (03:35)/Flyday (03:19)/Gayu Gaya (Bonus Track) - Live (09:25,https://i.scdn.co/image/ab67616d00001e02cf85603f8ca08bf31f29c53e,Krautrock/Progressive Rock/Space Rock/Jazz Fusion,Kraan,K
Area,L'elefante bianco,Crac!,Album,1975,L'elefante bianco (04:32)/La mela di Odessa (1920) (06:38)/Megalopoli (07:49)/Nervi scoperti (06:33)/Gioia e rivoluzione (04:36)/Implosion (04:58)/Area 5 (02:08,https://i.scdn.co/image/ab67616d00001e020883e38f3caf1677a27d301f,Progressive Rock/Krautrock,Area,A
Orphaned Land,All Is One,All Is One,Album,2013-06-25,All Is One (04:30)/The Simple Man (04:53)/Brother (04:55)/Let the Truce Be Known (05:31)/Through Fire and Water (04:08)/Fail (06:03)/Freedom (03:17)/Shama'im (03:56)/Ya Benaye (04:37)/Our Own Messiah (05:21)/Children (07:09,https://i.scdn.co/image/ab67616d00001e02bc44553f1ae3c1d22925e372,Folk Metal/Progressive Metal/Symphonic Metal,nan,N
